OlinkID	Symbol	CSF_belowLOD	Plasma_belowLOD
OID21042	CXCL11	False	False
OID21057	NTRK3	False	False
OID21058	SCARA5	False	False
OID21059	LRPAP1	False	False
OID21060	CPA2	False	False
OID21061	CLEC1B	True	False
OID21062	FOLR2	False	False
OID21063	MSR1	False	False
OID21064	JAM2	False	False
OID21043	FABP5	False	False
OID21044	GOLM2	False	False
OID21045	RGMB	False	False
OID21046	ENO2	False	False
OID21047	OXT	False	False
OID21048	SCARF2	False	False
OID21049	TNFRSF8	False	False
OID21050	THY1	False	False
OID21051	BST1	False	False
OID21052	TNFRSF21	False	False
OID21053	CPPED1	False	False
OID21054	CPM	False	False
OID21055	NCAN	False	False
OID21056	CTSS	False	False
OID21005	CDH15	False	False
OID21006	CNTN5	False	False
OID21007	ROBO2	False	False
OID21008	CDH3	False	False
OID21009	DDR1	False	False
OID21010	CD300C	False	False
OID21011	PVR	False	False
OID21012	TXNDC5	False	False
OID21013	FUT3_FUT5	False	False
OID21014	STC1	False	False
OID21015	RWDD1	False	False
OID21016	VTA1	False	False
OID21017	EZR	False	False
OID21018	CD8A	False	False
OID21019	MMP8	True	False
OID21020	SEMA4D	False	False
OID21021	PDCD5	False	False
OID21022	NSFL1C	False	False
OID21023	SERPINB6	False	False
OID21024	CXCL13	False	False
OID21025	CD34	True	False
OID21026	VCAN	False	False
OID21027	PPCDC	False	False
OID21028	SMPD1	False	False
OID21029	BST2	False	False
OID21030	CCL19	False	False
OID21031	SULT1A1	True	False
OID21032	SUMF2	False	False
OID21033	PRL	False	False
OID21034	LBR	False	False
OID21035	LAMP2	False	False
OID21036	ANXA3	False	False
OID21065	RGMA	False	False
OID21066	DKK1	False	False
OID21119	CD177	False	False
OID21120	TREML2	False	False
OID21121	MYOC	False	False
OID21122	CD99L2	False	False
OID21123	OGN	False	False
OID21124	PLAU	False	False
OID21125	EFNA1	False	False
OID21126	IL1RAP	False	False
OID21127	B4GAT1	False	False
OID21128	ALDH1A1	False	False
OID21134	MFGE8	False	False
OID21135	TXNRD1	False	False
OID21136	IL7R	False	False
OID21137	HAVCR2	False	False
OID21138	ARSA	False	False
OID21139	ITGA5	False	False
OID21067	BIN2	False	False
OID21068	CCN5	False	False
OID21069	CGA	False	False
OID21091	GP6	True	False
OID21092	CNTN3	False	False
OID21093	INHBC	False	False
OID21094	PIK3IP1	False	False
OID21095	NCAM2	False	False
OID21096	CA6	False	False
OID21114	SOD2	False	False
OID21115	NUDT5	False	False
OID21116	IL1R1	False	False
OID21117	CNTN4	False	False
OID21118	TMSB10	False	False
OID21129	PILRA	False	False
OID21130	CD300LG	False	False
OID21131	PECAM1	False	False
OID21132	GNLY	False	False
OID21133	FCER2	False	False
OID21140	FYB1	False	False
OID21097	SPINK1	False	False
OID21098	SUSD2	False	False
OID21099	MESD	False	False
OID21100	MPO	False	False
OID21101	GUCA2A	False	False
OID21102	PIGR	False	False
OID21103	MMP9	False	False
OID21104	THBS2	False	False
OID21105	PLA2G7	False	False
OID21106	NOMO1	False	False
OID21107	TNXB	False	False
OID21108	CD109	False	False
OID21109	SPINT1	False	False
OID21110	CD99	False	False
OID21111	FCRL5	False	False
OID21112	CLEC11A	False	False
OID21113	DSG2	False	False
OID21141	BLVRB	False	False
OID21142	RELT	False	False
OID21143	DBI	False	False
OID21144	VSIG4	False	False
OID21145	TNFRSF1B	False	False
OID21146	IGF2R	False	False
OID21147	TIMP4	False	False
OID21148	SPINK5	False	False
OID21149	CA2	False	False
